	Predicted
0	39.4999995
1	142.7499965
2	82.655001
3	187.650002
4	31.144999
5	70.6599995
6	115.4049985
7	104.134994
8	159.2250025
9	212.7450025
10	32.6250015
11	4.105
12	108.1580735
13	123.835999
14	100.550003
15	25.695001
16	94.454998
17	184.060001
18	95.455
19	144.959999
20	70.1550005
21	43.5550005
22	192.91
23	111.604999
24	90.079998
25	69.461714
26	108.34
27	72.950003
28	53.19
29	58.245001
30	50.434999
31	165.9100005
32	56.4050005
33	123.68
34	104.2599985
35	532.4617005
36	95.8999995
37	25.1049995
38	97.9475935
39	94.654285
40	144.804997
41	172.900002
42	135.4000015
43	152.889996
44	77.6099985
45	104.450001
46	83.990002
47	111.7050015
48	99.260002
49	148.088569
50	87.4099995
51	179.445
52	41.375
53	27.9750005
54	126.745003
55	63.3400025
56	237.254997
57	51.2800005
58	173.3100015
59	94.725001
60	50.179998
61	143.2666365
62	44.1099995
63	264090
64	260884
65	98.9150005
66	135.044998
67	52.924999
68	2240.339966
69	26.0400005
70	30.150001
71	56.415001
72	48.539999
73	125.739998
74	269.680008
75	15.92
76	63.789999
77	65.810002
78	112.4770965
79	39.5600005
80	9.26
81	62.1650015
82	8.9
83	98.905003
84	134.41
85	125.4500005
86	117.9750025
87	77.0850015
88	124.8980595
89	61.1749995
90	69.0850005
91	74.8550015
92	62.875002
93	163.215
94	75.8449995
95	53.66
96	57.695002
97	74.854999
98	54.1050015
99	79.6574995
100	44.2499985
101	95.4399985
102	105.890003
103	138.1799965
104	184.315002
105	143.4850045
106	187.8400035
107	162.244999
108	83.794998
109	50.2536885
110	69.1650015
111	128.8000035
112	221.7750015
113	170.795002
114	72.035633
115	140.174995
116	94.2999995
117	115.329998
118	107.1850015
119	188.8549955
120	147.4549975
121	78.7299995
122	60.4549985
123	117.055004
124	35.4649995
125	25.130001
126	153.9049985
127	155.880005
128	97.4867305
129	152.5249975
130	281.5600055
131	239.675003
132	74.115
133	33.195
134	167.6666335
135	44.7599995
136	35.645
137	48.060001
